[key]; [value]
Version; 0x03050000
Name; Application.Sine_Trace
ApplicationName; Application
ApplicationDataGuid; 00000000-0000-0000-0000-000000000000
IecTaskName; MainTask
Comment; 
Trigger.Flags; 0
Condition.Name; 
Condition.AddrFlags; 0x00000000
Condition.Class; 0
Condition.Size; 0
EveryNCycles; 1
BufferEntries; 201
Flags; 16
0.Variable; PLC_PRG.Sine_FilterInput
0.Address.AddrFlags; 0x00000000
0.Class; 14
0.Size; 4
0.GraphColor; 4285563024
0.GraphType; 4
0.MinWarningColor; 4278190080
0.MaxWarningColor; 4294901760
0.CriticalLowerLimit; 0
0.CriticalUpperLimit; 0
0.ActivateMinWarning; 0
0.ActivateMaxWarning; 0
0.YAxis; 0
0.Data; 
; 7432; 0.38174301385879517
; 7442; 0.24270099401474
; 7452; 0.428382009267807
; 7462; 0.54097998142242432
; 7472; 0.390529990196228
; 7482; 0.47666001319885254
; 7492; 0.70012599229812622
; 7502; 0.66957402229309082
; 7512; 0.76791298389434814
; 7522; 0.89432698488235474
; 7532; 0.84555202722549438
; 7542; 0.75494599342346191
; 7552; 0.94186997413635254
; 7562; 0.8795819878578186
; 7572; 0.84071499109268188
; 7582; 1.1541750431060791
; 7592; 0.97149002552032471
; 7602; 0.88465297222137451
; 7612; 1.0530060529708862
; 7622; 1.1647839546203613
; 7632; 1.0591650009155273
; 7642; 1.0780960321426392
; 7652; 1.0049450397491455
; 7662; 0.96998101472854614
; 7672; 1.0604619979858398
; 7682; 0.93759000301361084
; 7692; 0.9445350170135498
; 7702; 0.86055099964141846
; 7713; 0.81729298830032349
; 7723; 0.82813698053359985
; 7733; 0.7019050121307373
; 7743; 0.80812501907348633
; 7753; 0.75295299291610718
; 7763; 0.6951180100440979
; 7773; 0.42821601033210754
; 7783; 0.553076982498169
; 7793; 0.57787799835205078
; 7803; 0.5364919900894165
; 7813; 0.4621410071849823
; 7823; 0.38339000940322876
; 7833; 0.16815899312496185
; 7843; 0.30250400304794312
; 7853; 0.19447100162506104
; 7863; 0.19430199265480042
; 7873; 0.14328299462795258
; 7883; 0.012099999934434891
; 7893; -0.00955399964004755
; 7903; -0.13821800053119659
; 7913; -0.19915600121021271
; 7923; -0.2666969895362854
; 7933; -0.38444599509239197
; 7943; -0.32526001334190369
; 7953; -0.28322699666023254
; 7963; -0.52113598585128784
; 7973; -0.56813997030258179
; 7983; -0.49836200475692749
; 7993; -0.61711102724075317
; 8003; -0.51489698886871338
; 8014; -0.88445597887039185
; 8024; -0.86023402214050293
; 8034; -0.87275701761245728
; 8044; -0.61512899398803711
; 8054; -0.82271301746368408
; 8064; -0.93993997573852539
; 8074; -0.91872197389602661
; 8084; -0.97581297159194946
; 8094; -0.865261971950531
; 8104; -0.97622197866439819
; 8114; -0.90740400552749634
; 8124; -0.92621499300003052
; 8134; -1.0228960514068604
; 8144; -1.0105160474777222
; 8154; -0.98179298639297485
; 8164; -1.0660459995269775
; 8174; -0.997596025466919
; 8184; -0.96647298336029053
; 8194; -1.039868950843811
; 8204; -0.82010900974273682
; 8214; -0.99975097179412842
; 8224; -0.92687100172042847
; 8234; -0.93859899044036865
; 8244; -0.67771297693252563
; 8254; -0.81181198358535767
; 8264; -0.87293398380279541
; 8274; -0.572858989238739
; 8284; -0.46123600006103516
; 8294; -0.48705199360847473
; 8304; -0.48708400130271912
; 8314; -0.53160101175308228
; 8324; -0.463811993598938
; 8334; -0.20703199505805969
; 8344; -0.15502500534057617
; 8354; -0.26994401216506958
; 8364; -0.066743001341819763
; 8374; -0.063280999660491943
; 8384; -0.059640999883413315
; 8394; -0.042711000889539719
; 8404; 0.13180600106716156
; 8414; -0.016549000516533852
; 8425; 0.069604001939296722
; 8435; 0.48914998769760132
; 8445; 0.33992600440979004
; 8455; 0.66818702220916748
; 8465; 0.43753901124000549
; 8475; 0.53395098447799683
; 8485; 0.66166102886199951
; 8495; 0.60195600986480713
; 8505; 0.61566901206970215
; 8515; 0.85643100738525391
; 8525; 0.66880601644515991
; 8535; 0.87617599964141846
; 8545; 0.78082501888275146
; 8555; 0.93942797183990479
; 8565; 0.97964298725128174
; 8575; 0.8381119966506958
; 8585; 0.99701899290084839
; 8595; 1.0659019947052002
; 8605; 0.8725159764289856
; 8615; 1.025177001953125
; 8625; 0.99263501167297363
; 8635; 0.87696999311447144
; 8645; 0.971701979637146
; 8655; 0.97870701551437378
; 8665; 0.87800997495651245
; 8675; 0.77867501974105835
; 8685; 0.867035984992981
; 8695; 0.93753701448440552
; 8705; 0.74215900897979736
; 8715; 1.0136229991912842
; 8725; 0.79658001661300659
; 8735; 0.61616301536560059
; 8745; 0.796334981918335
; 8755; 0.89359802007675171
; 8765; 0.70679301023483276
; 8775; 0.671580970287323
; 8785; 0.60400199890136719
; 8795; 0.57296198606491089
; 8805; 0.59054499864578247
; 8815; 0.4653019905090332
; 8825; 0.46558299660682678
; 8835; 0.3822999894618988
; 8845; 0.28482100367546082
; 8856; 0.23870900273323059
; 8866; 0.050648998469114304
; 8876; -0.0078269997611641884
; 8886; 0.022582000121474266
; 8896; -0.0034660000819712877
; 8906; -0.19100600481033325
; 8916; -0.082557998597621918
; 8926; -0.21440400183200836
; 8936; -0.012892999686300755
; 8946; -0.30452200770378113
; 8956; -0.534525990486145
; 8966; -0.4220770001411438
; 8976; -0.46530899405479431
; 8986; -0.61910897493362427
; 8996; -0.59506899118423462
; 9006; -0.72643601894378662
; 9016; -0.71004098653793335
; 9026; -0.71283000707626343
; 9036; -0.67534500360488892
; 9046; -0.7538830041885376
; 9056; -1.1286989450454712
; 9066; -0.86559802293777466
; 9076; -0.83787202835083008
; 9086; -0.94400399923324585
; 9096; -0.87633997201919556
